Year,Topic/Unit,Contents,SL Classes,SL Minutes,HL Classes,HL Minutes,Level,Allocated Time Display
Year 1,"Topic 2: Computer organization (hal. 11, 22–25)","2.1.11 - 2.1.13 Logic gates: Boolean operators (AND, OR, NOT, NAND, NOR, XOR), truth tables, and logic diagrams",2,90,2,90,SL & HL,SL: 2 Classes (90 Min) | HL: 2 Classes (90 Min)
Year 1,"Topic 4: Computational thinking, problem-solving and programming (hal. 11, 27–34)","4.1.1 - 4.1.3 Thinking procedurally: procedure identification, order of activities, and role of sub-procedures",3,135,3,135,SL & HL,SL: 3 Classes (135 Min) | HL: 3 Classes (135 Min)
Year 1,"Topic 4: Computational thinking, problem-solving and programming (hal. 11, 27–34)","4.1.4 - 4.1.8 Thinking logically: decision-making, Boolean conditions (AND, OR, NOT), IF...THEN...ELSE, and deducing logical rules",3,135,3,135,SL & HL,SL: 3 Classes (135 Min) | HL: 3 Classes (135 Min)
Year 1,"Topic 4: Computational thinking, problem-solving and programming (hal. 11, 27–34)","4.1.9 - 4.1.13 Thinking ahead: inputs/outputs, pre-planning (Gantt, caching), pre/post-conditions, and exceptions",3,135,3,135,SL & HL,SL: 3 Classes (135 Min) | HL: 3 Classes (135 Min)
Year 1,"Topic 4: Computational thinking, problem-solving and programming (hal. 11, 27–34)","4.1.14 - 4.1.16 Thinking concurrently: identifying concurrent parts, concurrent processing, and evaluating concurrency",2,90,2,90,SL & HL,SL: 2 Classes (90 Min) | HL: 2 Classes (90 Min)
Year 1,"Topic 4: Computational thinking, problem-solving and programming (hal. 11, 27–34)","4.1.17 - 4.1.20 Thinking abstractly: abstraction examples, necessity of abstraction, successive decomposition, and real-world vs abstraction",2,90,2,90,SL & HL,SL: 2 Classes (90 Min) | HL: 2 Classes (90 Min)
Year 1,"Topic 4: Computational thinking, problem-solving and programming (hal. 11, 27–34)","4.2.1 - 4.2.3 Standard algorithms & collections: linear array algorithms (sequential search, binary search, bubble sort, selection sort), collection operations, and algorithm discussion",8,360,8,360,SL & HL,SL: 8 Classes (360 Min) | HL: 8 Classes (360 Min)
Year 1,"Topic 4: Computational thinking, problem-solving and programming (hal. 11, 27–34)","4.2.4 - 4.2.6 Algorithm representations: flowchart analysis, pseudocode analysis (variables, nested loops, conditionals), and constructing pseudocode",11,495,11,495,SL & HL,SL: 11 Classes (495 Min) | HL: 11 Classes (495 Min)
Year 1,"Topic 4: Computational thinking, problem-solving and programming (hal. 11, 27–34)","4.2.7 - 4.2.9 Algorithm efficiency & tracing: suggesting algorithms, deducing efficiency (loop complexity), and determining step execution/iteration counts",10,450,10,450,SL & HL,SL: 10 Classes (450 Min) | HL: 10 Classes (450 Min)
Year 1,"Topic 4: Computational thinking, problem-solving and programming (hal. 11, 27–34)","4.3.1 - 4.3.5 Programming languages nature: fundamental & compound operations, language features, higher level languages, and translation (compilers, interpreters, virtual machines)",4,180,4,180,SL & HL,SL: 4 Classes (180 Min) | HL: 4 Classes (180 Min)
Year 1,"Topic 4: Computational thinking, problem-solving and programming (hal. 11, 27–34)","4.3.6 - 4.3.9 Language constructs & control structures: variables, constants, operators, loops (for, while, do-while), and branching",6,270,6,270,SL & HL,SL: 6 Classes (270 Min) | HL: 6 Classes (270 Min)
Year 1,"Topic 4: Computational thinking, problem-solving and programming (hal. 11, 27–34)","4.3.10 - 4.3.13 Sub-programmes & data structures: collection characteristics & access methods, sub-programmes/methods modularity, and 1D arrays",8,360,8,360,SL & HL,SL: 8 Classes (360 Min) | HL: 8 Classes (360 Min)
Year 1,"Group 4 Project (hal. 11, 86–90)","Group 4 Project: Interdisciplinary collaborative science project (planning 2h, action 6h, evaluation 2h)",13,585,13,585,SL & HL,SL: 13 Classes (585 Min) | HL: 13 Classes (585 Min)
Year 1,"Internal Assessment (IA) Stage 1 (hal. 11, 74–77)","IA Criterion A - Planning (hal. 74–77, 81): client identification, problem scenario analysis, rationale for proposed solution, and bulleted success criteria formulation",5,225,5,225,SL & HL,SL: 5 Classes (225 Min) | HL: 5 Classes (225 Min)
Year 1,"Internal Assessment (IA) Stage 1 (hal. 11, 74–77)","IA Criterion B - Solution overview & Record of tasks (hal. 74–77, 82): chronology of tasks, detailed design overview (flowcharts, UML diagrams, GUI layouts), and test plan design",7,315,7,315,SL & HL,SL: 7 Classes (315 Min) | HL: 7 Classes (315 Min)
Year 1,"Topic 5: Abstract data structures [HL Extension] (hal. 11, 35–37)","5.1.1 - 5.1.3 Thinking recursively: recursive thinking situations (fractals, Towers of Hanoi), recursion in solutions, and tracing recursive algorithms",0,0,5,225,HL Only,SL: --- | HL: 5 Classes (225 Min) [HL Extension]
Year 1,"Topic 5: Abstract data structures [HL Extension] (hal. 11, 35–37)",5.1.4 - 5.1.5 Two-dimensional arrays: characteristics and algorithms on two-dimensional arrays,0,0,2,90,HL Only,SL: --- | HL: 2 Classes (90 Min) [HL Extension]
Year 1,"Topic 5: Abstract data structures [HL Extension] (hal. 11, 35–37)","5.1.6 - 5.1.7, 5.1.10 Stacks & static arrays: stack characteristics (LIFO), applications, push/pop/isEmpty, and array implementation of static stacks",0,0,6,270,HL Only,SL: --- | HL: 6 Classes (270 Min) [HL Extension]
Year 1,"Topic 5: Abstract data structures [HL Extension] (hal. 11, 35–37)","5.1.8 - 5.1.10 Queues & circular queues: queue characteristics (FIFO), applications, enqueue/dequeue/isEmpty, circular queues, and array implementation",0,0,6,270,HL Only,SL: --- | HL: 6 Classes (270 Min) [HL Extension]
Year 1,"Topic 5: Abstract data structures [HL Extension] (hal. 11, 35–37)","5.1.11 - 5.1.13 Linked lists: dynamic data structures, nodes and pointers, logical operation, and sketching single/double/circular linked lists (insert, delete, search)",0,0,5,225,HL Only,SL: --- | HL: 5 Classes (225 Min) [HL Extension]
Year 1,"Topic 5: Abstract data structures [HL Extension] (hal. 11, 35–37)","5.1.14 - 5.1.17 Binary trees: tree logical operation, root, parent, left/right child, subtree, leaf, tree traversals (preorder, inorder, postorder), and sketching binary trees",0,0,4,180,HL Only,SL: --- | HL: 4 Classes (180 Min) [HL Extension]
Year 1,"Topic 5: Abstract data structures [HL Extension] (hal. 11, 35–37)","5.1.18 - 5.1.20 Applications: static vs dynamic data structures comparison, and suitability for specified problems",0,0,3,135,HL Only,SL: --- | HL: 3 Classes (135 Min) [HL Extension]
Year 1,"Topic 6: Resource management [HL Extension] (hal. 11, 38–39)","6.1.1 - 6.1.4 System resources: primary memory, secondary storage, processor speed, bandwidth, resource limitations, and problems in multi-access/multiprogramming",0,0,5,225,HL Only,SL: --- | HL: 5 Classes (225 Min) [HL Extension]
Year 1,"Topic 6: Resource management [HL Extension] (hal. 11, 38–39)","6.1.5 - 6.1.9 Operating system role: memory management, peripheral management, OS resource techniques (scheduling, multitasking, virtual memory, paging, interrupt, polling), dedicated OS, and hardware virtualization",0,0,6,270,HL Only,SL: --- | HL: 6 Classes (270 Min) [HL Extension]
Year 1,"Topic 7: Control [HL Extension] (hal. 11, 39–40)","7.1.1 - 7.1.3 Centralized control systems: control systems range (automatic doors, heating, elevators, robots), microprocessors, sensors, and input devices",0,0,6,270,HL Only,SL: --- | HL: 6 Classes (270 Min) [HL Extension]
Year 1,"Topic 7: Control [HL Extension] (hal. 11, 39–40)","7.1.4 - 7.1.6 Transducers, feedback & ethics: sensors, processors, output transducers, role of feedback, and social/ethical impacts of embedded systems",0,0,6,270,HL Only,SL: --- | HL: 6 Classes (270 Min) [HL Extension]
Year 1,"Topic 7: Control [HL Extension] (hal. 11, 39–40)","7.1.7 - 7.1.8 Distributed systems & autonomous agents: centrally controlled vs distributed systems, and role of autonomous agents",0,0,6,270,HL Only,SL: --- | HL: 6 Classes (270 Min) [HL Extension]
Year 2,"Topic 3: Networks (hal. 11, 25–27)","3.1.1 - 3.1.5 Network fundamentals: LAN, VLAN, WAN, SAN, WLAN, VPN, OSI 7-layer model awareness, and VPN evaluation",4,180,4,180,SL & HL,SL: 4 Classes (180 Min) | HL: 4 Classes (180 Min)
Year 2,"Topic 3: Networks (hal. 11, 25–27)","3.1.6 - 3.1.11 Data transmission: protocols, data packets, transmission speed factors, data compression, transmission media (metal, fiber, wireless), and packet switching",4,180,4,180,SL & HL,SL: 4 Classes (180 Min) | HL: 4 Classes (180 Min)
Year 2,"Topic 3: Networks (hal. 11, 25–27)","3.1.12 - 3.1.16 Wireless networking & security: advantages/disadvantages of wireless, components, WiFi, WiMAX, network security methods (encryption, userID, MAC), and security evaluation",4,180,4,180,SL & HL,SL: 4 Classes (180 Min) | HL: 4 Classes (180 Min)
Year 2,"Option D: Object-oriented programming (hal. 11, 57–64)","D.1.1 - D.1.10 Objects as a programming concept: objects, instantiation, UML diagrams, decomposition (3–5 objects), relationships (dependency, aggregation, inheritance), data types, and parameter passing",8,360,8,360,SL & HL,SL: 8 Classes (360 Min) | HL: 8 Classes (360 Min)
Year 2,"Option D: Object-oriented programming (hal. 11, 57–64)","D.2.1 - D.2.10 Features of OOP: encapsulation, inheritance, polymorphism, libraries, disadvantages of OOP, programming teams, and modularity",7,315,7,315,SL & HL,SL: 7 Classes (315 Min) | HL: 7 Classes (315 Min)
Year 2,"Option D: Object-oriented programming (hal. 11, 57–64)","D.3.1 - D.3.10 Program development in Java: classes, methods, access modifiers, primitives vs String, selection & repetition control structures, static arrays, internationalization, and programmer ethics",25,1125,25,1125,SL & HL,SL: 25 Classes (1125 Min) | HL: 25 Classes (1125 Min)
Year 2,"Option D: OOP (HL Extension D.4) (hal. 11, 61–64)","D.4.1 - D.4.6 Recursion & object references: recursion application, recursive algorithms, tracing recursion, object references, and reference mechanisms in Java",0,0,7,315,HL Only,SL: --- | HL: 7 Classes (315 Min) [HL Extension]
Year 2,"Option D: OOP (HL Extension D.4) (hal. 11, 61–64)","D.4.7 - D.4.10 Abstract Data Type (ADT) lists: static implementation of lists (add, insert, delete, isEmpty, isFull) and list algorithms using object references",0,0,6,270,HL Only,SL: --- | HL: 6 Classes (270 Min) [HL Extension]
Year 2,"Option D: OOP (HL Extension D.4) (hal. 11, 61–64)","D.4.11 - D.4.15 JETS library collections & ADTs: ArrayList and LinkedList in JETS, tracing collection algorithms, ADT stack, queue, binary tree in OOP, and code naming conventions",0,0,7,315,HL Only,SL: --- | HL: 7 Classes (315 Min) [HL Extension]
Year 2,"Case Study [HL Extension] (hal. 11, 71–73)","Case Study Phase 1 - Scenario analysis & technical terminology (hal. 71–73): background investigation of the organization, systems context, user roles, and domain-specific vocabulary",0,0,10,450,HL Only,SL: --- | HL: 10 Classes (450 Min) [HL Extension]
Year 2,"Case Study [HL Extension] (hal. 11, 71–73)","Case Study Phase 2 - In-depth technical research & global context (hal. 71–73): investigating hardware/software architectures, comparison with real-world technologies, and evaluating social/ethical implications",0,0,15,675,HL Only,SL: --- | HL: 15 Classes (675 Min) [HL Extension]
Year 2,"Case Study [HL Extension] (hal. 11, 71–73)","Case Study Phase 3 - Strategic solutions & Paper 3 exam preparation (hal. 71–73): formulating and justifying strategic technical recommendations, structured questions analysis, and extended synthesis responses (Question 4)",0,0,15,675,HL Only,SL: --- | HL: 15 Classes (675 Min) [HL Extension]
Year 2,"Internal Assessment (IA) Stage 2 (hal. 11, 74–85)","IA Criterion C - Development & Technical Implementation (hal. 74–85, 82–83): coding the software product, implementing complex algorithmic techniques & data structures, modularity, code documentation, and authenticity checks",16,720,16,720,SL & HL,SL: 16 Classes (720 Min) | HL: 16 Classes (720 Min)
Year 2,"Internal Assessment (IA) Stage 2 (hal. 11, 74–85)","IA Criterion D - Functionality, Testing & Video Demonstration (hal. 74–85, 83): comprehensive execution testing against test plan, recording 2–7 minute unedited video demonstrating product functionality, and documenting product extensibility",6,270,6,270,SL & HL,SL: 6 Classes (270 Min) | HL: 6 Classes (270 Min)
Year 2,"Internal Assessment (IA) Stage 2 (hal. 11, 74–85)","IA Criterion E - Evaluation & Client Feedback (hal. 74–85, 83): testing product with real client, collecting client feedback, evaluating against Criterion A success criteria, and justifying future development recommendations",6,270,6,270,SL & HL,SL: 6 Classes (270 Min) | HL: 6 Classes (270 Min)
